sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Frontpage not logged,600,1116,346,3147,317,9784,0.0,0.18451290898439482,7.278709920336552
Login,600,5404,2025,12656,1670,49032,0.028333333333333332,0.18124758147758466,15.342877401454935
Frontpage logged,600,3181,1429,5023,132,41710,0.11,0.18180633685987124,13.990723189625523
View course,600,787,626,1090,130,6503,0.018333333333333333,0.18234349685594226,16.62418270938048
View a page activity,600,518,502,568,453,1031,0.0,0.18186447459353292,9.47964311370167
View course again,600,689,586,659,520,5226,0.0,0.18267209080994978,17.01830520868155
View a forum activity,600,1614,537,4427,256,45296,0.015,0.18284376914145709,11.447751071635905
View a forum discussion,600,18044,13787,41282,129,59207,0.13166666666666665,0.1832302205267319,174.2571181218811
Fill a form to reply a forum discussion,600,10416,7548,25714,151,80371,0.23833333333333334,0.18287743006005086,38.29104031226245
Send the forum discussion reply,600,3198,979,7358,131,34811,0.5183333333333333,0.18115996727043257,5.695328221760181
View course once more,600,1035,637,1785,470,10963,0.01,0.18105331386406698,18.561230938857996
View course participants,600,638,622,693,552,1359,0.0,0.18361044229307408,18.66774389654026
Logout,600,467,544,585,266,1205,0.0,0.18606197352214077,7.20695458422979
TOTAL,7800,3624,641,9511,129,80371,0.0823076923076923,1.9997677192879901,297.64089661508547
