sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Frontpage not logged,531,5440,2615,15396,131,22023,0.4613935969868173,0.2242618364637076,4.873976383032459
Login,401,8392,2551,26155,132,43113,0.7331670822942643,0.16968948094484457,4.315917047207318
Frontpage logged,360,5931,139,26156,129,39567,0.7,0.26863105613792115,6.2135790095703545
View course,360,831,637,1632,129,10185,0.6138888888888889,0.26720701863768953,9.927462688436616
View a page activity,360,360,456,688,130,1177,0.5916666666666667,0.2655341144953598,5.938610252991316
View course again,360,378,214,620,128,1568,0.5944444444444444,0.26830511657857314,10.360223899222362
View a forum activity,360,501,507,981,130,2585,0.5944444444444444,0.2683411152256749,7.38452198081771
View a forum discussion,360,11805,1444,40829,130,59859,0.6777777777777778,0.2683503164297481,72.89582093882545
Fill a form to reply a forum discussion,360,3506,145,7947,131,47917,0.8,0.2683627190510694,16.741035549534168
Send the forum discussion reply,360,395,219,685,130,2167,0.7111111111111111,0.26387583762253736,4.651500246375739
View course once more,360,573,702,864,130,1469,0.5944444444444444,0.26794964928368126,12.17143837232497
View course participants,360,456,144,842,131,3572,0.6027777777777777,0.26841314150740825,11.199351931381672
Logout,360,360,136,490,129,10262,0.7888888888888889,0.2710076062801496,2.325431844268867
TOTAL,4892,3125,485,9883,128,59859,0.6451349141455437,2.0660807984566056,99.82339099919207
