Frontpage not logged,300,6904,1532,17900,347,40479,0.22666666666666666,0.25390742366061714,8.116623567644748
Login,300,25455,15671,70612,131,102058,0.5233333333333333,0.24562340037760502,10.946106893410496
Frontpage logged,300,13660,4939,39258,129,94332,0.6366666666666667,0.24790069428721112,7.059274076012137
View course,300,2995,897,9914,131,31836,0.42333333333333334,0.24318179054752379,13.350795875738159
View a page activity,300,888,617,1713,185,6647,0.20333333333333334,0.24660365121365985,10.894388190983431
View course again,300,982,695,1435,522,7652,0.19,0.24961268431816633,19.075389960016206
View a forum activity,300,2395,641,7017,135,33831,0.24,0.25075791580050705,12.564644933582587
View a forum discussion,300,25218,14067,61171,130,149642,0.44,0.24832936420232882,125.74986414314365
Fill a form to reply a forum discussion,300,26136,10727,91844,130,146039,0.46,0.2470972253452566,41.42062314368209
Send the forum discussion reply,300,3719,1510,8857,130,47425,0.61,0.2425034112146511,4.254982851472319
View course once more,300,2035,774,5146,129,20057,0.30333333333333334,0.24084817091870733,18.017431436546943
View course participants,300,837,745,903,535,6337,0.18,0.24789372961074074,21.167338125136343
Logout,300,500,585,644,296,1176,0.0,0.26150604819905143,10.386539274449289
TOTAL,3900,8594,892,22762,129,149642,0.3412820512820513,1.9994873109459113,187.96503200301206
